id,catalogNumber,stateProvince,county,locality,verbatimCoordinates,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,metodo_correccion,confianza_coordenada,coherencia_provincia,criterio_coherencia,dist_fuera_provincia_km,dist_centroide_km,coordenada_compartida,provincia_minoritaria,signo_ambiguo,dms_rango_invalido
679538,3005,Sucumbíos,Putumayo,Quebrada Santa Rosa,-0.035726° -78.706830°,-0.035726,-78.70683,-0.035726,-78.70683,original,leida,discordante,poligono_gadm,82.56,269.2,FALSE,FALSE,FALSE,FALSE
679583,3046,Morona Santiago,,Río Jurumbano granja del CREA,-0.455636° -75.353864°,-0.455636,-75.353864,-0.455636,-75.353864,original,leida,discordante,poligono_gadm,279.45,374.1,FALSE,FALSE,FALSE,FALSE
679584,3047,Morona Santiago,,Río Jurumbano granja del CREA,-0.455636° -75.353864°,-0.455636,-75.353864,-0.455636,-75.353864,original,leida,discordante,poligono_gadm,279.45,374.1,FALSE,FALSE,FALSE,FALSE
679590,3052,Carchi,Espejo,Reserva Ecológica El Ángel Laguna El Voladero,-0.455956° -75.353747°,-0.455956,-75.353747,-0.455956,-75.353747,original,leida,discordante,poligono_gadm,272.13,393.3,TRUE,TRUE,FALSE,FALSE
679597,3059,Pastaza,,Río Cabeno bajo La Bonita,-0.123333° -77.401944°,-0.123333,-77.401944,-0.123333,-77.401944,original,leida,discordante,poligono_gadm,102.1,177.1,FALSE,FALSE,FALSE,FALSE
679599,3060,Pastaza,,Río Cabeno bajo La Bonita,-0.123333° -77.401944°,-0.123333,-77.401944,-0.123333,-77.401944,original,leida,discordante,poligono_gadm,102.1,177.1,FALSE,FALSE,FALSE,FALSE
679600,3061,Pastaza,,Río Cabeno bajo La Bonita,-0.123333° -77.401944°,-0.123333,-77.401944,-0.123333,-77.401944,original,leida,discordante,poligono_gadm,102.1,177.1,FALSE,FALSE,FALSE,FALSE
679636,3094,,,Sansahuari,0.214115° -76.274799°,0.214115,-76.274799,0.214115,-76.274799,original,leida,no_evaluable,sin_provincia_declarada,,,TRUE,TRUE,FALSE,FALSE
679637,3095,,,Sansahuari,0.214115° -76.274799°,0.214115,-76.274799,0.214115,-76.274799,original,leida,no_evaluable,sin_provincia_declarada,,,TRUE,TRUE,FALSE,FALSE
679638,3096,Pastaza,,Sansahuari,0.214115° -76.274799°,0.214115,-76.274799,0.214115,-76.274799,original,leida,discordante,poligono_gadm,143.63,252.6,TRUE,TRUE,FALSE,FALSE
679639,3097,Tungurahua,,Río Pastaza,0.214115° -76.274799°,0.214115,-76.274799,0.214115,-76.274799,original,leida,discordante,poligono_gadm,257.44,279.8,TRUE,TRUE,FALSE,FALSE
679640,3098,Tungurahua,,Río Pastaza,0.214115° -76.274799°,0.214115,-76.274799,0.214115,-76.274799,original,leida,discordante,poligono_gadm,257.44,279.8,TRUE,TRUE,FALSE,FALSE
